wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872158.816256,5.160806,512.840027,-4.103889,2.338898,0.830133,1779872158816-0,0.000475
1779872158.836445,5.180995,512.860046,-4.103916,2.338646,0.830141,1779872158836-0,0.000254
1779872158.865164,5.209713,512.880066,-4.103925,2.338022,0.830150,1779872158856-0,0.000624
1779872158.876606,5.221155,512.900024,-4.103903,2.337744,0.830148,1779872158876-0,0.000280
1779872158.896485,5.241034,512.920044,-4.103804,2.337171,0.830133,1779872158896-0,0.000581
1779872158.916568,5.261118,512.940063,-4.103701,2.336781,0.830115,1779872158916-0,0.000404
1779872158.936314,5.280864,512.960083,-4.103494,2.336182,0.830080,1779872158936-0,0.000635
1779872158.956362,5.300912,512.980042,-4.103368,2.335877,0.830060,1779872158956-0,0.000330
1779872158.981421,5.325971,513.000061,-4.103031,2.335170,0.830006,1779872158976-0,0.000786
1779872158.996354,5.340903,513.020081,-4.102870,2.334872,0.829980,1779872158996-0,0.000339
1779872159.016649,5.361199,513.040039,-4.102529,2.334290,0.829926,1779872159016-0,0.000677
1779872159.036358,5.380907,513.060059,-4.102774,2.334040,0.829996,1779872159036-0,0.000357
1779872159.056275,5.400825,513.080078,-4.104048,2.333917,0.830309,1779872159056-0,0.001318
1779872159.076334,5.420883,513.100037,-4.103554,2.333477,0.830227,1779872159076-0,0.000667
1779872159.103036,5.447586,513.120056,-4.103688,2.333053,0.830300,1779872159096-0,0.000450
1779872159.116530,5.461080,513.140076,-4.104045,2.332834,0.830410,1779872159116-0,0.000434
1779872159.136393,5.480943,513.160034,-4.104053,2.332341,0.830460,1779872159136-0,0.000495
1779872159.156358,5.500907,513.180054,-4.104059,2.332085,0.830485,1779872159156-0,0.000258
1779872159.176467,5.521017,513.200073,-4.104365,2.331532,0.830608,1779872159176-0,0.000644
1779872159.200254,5.544803,513.220093,-4.103926,2.331143,0.830530,1779872159196-0,0.000592
1779872159.216349,5.560899,513.240051,-4.104061,2.330594,0.830599,1779872159216-0,0.000570
1779872159.236319,5.580869,513.260071,-4.104181,2.330318,0.830642,1779872159236-0,0.000304
1779872159.256399,5.600949,513.280029,-4.103906,2.329514,0.830605,1779872159256-0,0.000850
1779872159.276340,5.620890,513.300049,-4.103657,2.329127,0.830554,1779872159276-0,0.000464
1779872159.296257,5.640806,513.320068,-4.103323,2.328361,0.830481,1779872159296-0,0.000838
1779872159.322270,5.666820,513.340027,-4.103206,2.327856,0.830451,1779872159316-0,0.000520
1779872159.336266,5.680816,513.360046,-4.103167,2.327105,0.830427,1779872159336-0,0.000752
1779872159.356264,5.700814,513.380066,-4.103204,2.326732,0.830426,1779872159356-0,0.000375
1779872159.376287,5.720837,513.400024,-4.103412,2.325864,0.830444,1779872159376-0,0.000893
1779872159.396360,5.740910,513.420105,-4.103546,2.325491,0.830459,1779872159396-0,0.000396
1779872159.420499,5.765049,513.440063,-4.103940,2.324623,0.830503,1779872159416-0,0.000954
1779872159.436257,5.780807,513.460083,-4.104070,2.324376,0.830518,1779872159436-0,0.000279
1779872159.456455,5.801004,513.480042,-4.104572,2.323517,0.830577,1779872159456-0,0.000997
1779872159.476462,5.821011,513.500061,-4.104804,2.323148,0.830605,1779872159476-0,0.000437
1779872159.496506,5.841056,513.520081,-4.225815,2.273566,0.832328,1779872159496-0,0.130786
1779872159.520756,5.865306,513.540100,-4.257033,2.260854,0.828721,1779872159516-0,0.033900
1779872159.536562,5.881112,513.560242,-4.256156,2.261919,0.828814,1779872159536-0,0.001383
1779872159.556378,5.900928,513.580078,-4.257377,2.261580,0.828796,1779872159556-0,0.001267
1779872159.576648,5.921197,513.600159,-4.258712,2.261981,0.829218,1779872159576-0,0.001456
